rank,post_title,site,job_link,company_name,job_profile,salary_range,job_location,founding_year,team_size,company_hq,post_date,role_description
1,Svix (YC W21) Is Hiring a Developer Marketer (US Remote),svix.com,https://www.svix.com/careers/,,,,,,,,2025-01-30T21:00:10 1738270810,
2,Great Question (YC W21) Is Hiring Lead Product Designer,ycombinator.com,https://www.ycombinator.com/companies/great-question/jobs/T5RTrue-lead-product-designer,Great Question,Lead Product Designer,$150K - $180K,"United States (Remote) / Remote (CO, US; Oakland, CA, US)",2020,22,"Oakland, CA",2025-01-30T17:00:00 1738256400,"Great Question is the all-in-one customer research platform for understanding your customers. Run interviews, surveys, and prototype tests while using AI to analyze it all in one place."
3,Codes Health (YC S24) Is Hiring,Site not found,item?id=42877004,,,,,,,,2025-01-30T12:00:46 1738238446,
4,Etleap (YC W13) Is Hiring a Senior Software Engineer (SF),Site not found,item?id=42873532,,,,,,,,2025-01-30T01:02:03 1738198923,
5,Frigade (YC W23) is hiring engineer #2,ycombinator.com,https://www.ycombinator.com/companies/frigade/jobs/KUwAluN-senior-full-stack-engineer,Frigade,Senior Full Stack Engineer,$130K - $180K / 0.50% - 1.50%,"San Francisco, CA, US",2022,4,San Francisco,2025-01-29T17:00:50 1738170050,"We’re looking for an experienced software engineer who embraces the breadth of responsibilities that come with a senior full-stack role. You’ll collect and prioritize feedback directly from customers, figure out the best way to solve their problems, and drive the work to get it done.

We’d never say something like “deep cross-functional impact” out loud, but our CEO does routinely ship code and our UI engineer is currently editing this job posting, so draw your own conclusions there. We highly value the ability to step up and solve the problem at hand with an entrepreneurial spirit, a designer's eye for detail, and the rigor of an engineer whose cell number is saved in PagerDuty."
6,Infracost (YC W21) Is Hiring Senior Software Engineers (GMT+2 to GMT-6),infracost.notion.site,https://infracost.notion.site/Join-the-team-6512e4f4a89d4fc5b7a112583c0a1c3c,,,,,,,,2025-01-29T12:00:22 1738152022,
7,SciPhi (YC W24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/sciphi/jobs/CVYWWpl-founding-ai-research-engineer,SciPhi,Founding AI Research Engineer,$125K - $250K / 2.00% - 4.00%,"San Francisco, CA, US",2023,6,San Francisco,2025-01-28T21:01:03 1738098063,Founding AI Research Engineer at SciPhi
8,Curo (YC F24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/curo/jobs/s7a36qb-associate-marketplace-supply,Curo,"Associate, Marketplace Supply",$60K - $90K / 0.10% - 0.50%,"San Francisco, CA, US",2023,6,San Francisco,2025-01-28T17:00:58 1738083658,"As a Marketplace Supply Associate, you’ll wear all kinds of different hats by working directly with me (CEO), Gaia (Virtual Depot Lead) and Bianca (Virtual Depot Associate) to build Curo from the ground up:"
9,Structured (YC S23) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/structured/jobs/QsFSDNJ-founding-engineer,Structured,Founding Engineer,$120K - $150K / 0.25% - 1.00%,"San Francisco, CA, US / Remote (US)",2023,3,San Francisco,2025-01-28T12:00:20 1738065620,"At Structured, we’re redefining how developers build and deploy data apps by consolidating the entire analytics stack into code. While AI tools like Copilot have made writing code faster, deploying production-grade data-intensive apps is still fragmented and inefficient. Trends like local-first development and in-process data querying are changing how modern apps are built: faster iteration, lower latency, and simpler infrastructure. Structured builds on these shifts with a lightweight SDK that lets developers prototype, deploy, and manage data applications (dashboards, internal tools) in hours instead of weeks. If you’re excited to build tools that push the boundaries of modern data development, join us."
10,Hyperbound (YC S23) is hiring a Founding Account Executive in SF,ycombinator.com,https://www.ycombinator.com/companies/hyperbound/jobs/c3NkW7d-founding-full-cycle-account-executive-in-sf,Hyperbound,Founding Account Executive in SF,$260K - $300K / 0.10% - 0.30%,"San Francisco, CA, US",2023,10,San Francisco,2025-01-26T22:39:54 1737931194,Who we are:
11,SigNoz (YC W21) Is hiring back end engineers to build open-source Datadog,linkedin.com,https://www.linkedin.com/posts/pranay01_inviting-backend-engineers-interested-activity-7275015683980075008-CzV9,,,,,,,,2025-01-26T07:02:13 1737874933,
12,Bucket Robotics (YC S24) is hiring our first engineer,Site not found,item?id=42825423,,,,,,,,2025-01-25T22:13:30 1737843210,
13,Inboxbooster (YC W17) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/inboxbooster/jobs/ci7Hwk0-jvm-bytecode-engineer-full-remote,Inboxbooster,JVM Bytecode Engineer (full remote),$50K - $150K / 0.50% - 1.50%,"San Francisco, CA, US / Remote (US)",2016,3,San Francisco,2025-01-25T12:01:09 1737806469,"We're building technology that automatically parallelizes Java applications by transforming bytecode post-compilation. Our proof of concept already shows a 2.8x speedup on real workloads without requiring source code changes. Now, we're looking for a brilliant JVM engineer to help turn this into a game-changing product."
14,Converge (YC S23) is hiring engineer #2 in NYC,gem.com,https://jobs.gem.com/converge/am9icG9zdDreA6I3WJ4ZJ1Yx_WHS5zKP,,,,,,,,2025-01-24T17:00:37 1737738037,
15,Sei (YC W22) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/sei/jobs/LeAtLYf-full-stack-engineer-typescript-react-gen-ai,Sei,"Full Stack Engineer (Typescript, React, Gen AI)",₹1M - ₹3.2M INR / 0.02% - 0.14%,"Gurugram, HR, IN",2023,,"Delhi, India",2025-01-24T01:00:52 1737680452,"We are Sei, an AI-powered regulatory compliance platform. Since launching, a few months ago, we're live with large enterprises across the US, Europe, and APAC and growing at double digits per month."
16,Intrinsic (YC W23) Is Hiring,Site not found,item?id=42805699,,,,,,,,2025-01-23T17:00:58 1737651658,
17,Extend (YC W23) is hiring engineers to build LLM document processing,ashbyhq.com,https://jobs.ashbyhq.com/extend/9d4d8974-bd9b-432d-84ec-8268e5a8ed37,,,,,,,,2025-01-23T12:00:07 1737633607,
18,Demodesk (YC W19) Is Hiring a Ruby on Rails Full-Stack Engineer,demodesk.com,https://demodesk.com/careers?utm_source=hn,,,,,,,,2025-01-23T01:01:09 1737594069,
19,Trellis (YC W24) Is Hiring,runtrellis.com,https://runtrellis.com/,,,,,,,,2025-01-22T21:01:14 1737579674,
20,Sieve (YC W22) Is Hiring Engineers to Build the Future of Video AI,sievedata.com,https://www.sievedata.com/,,,,,,,,2025-01-22T17:01:17 1737565277,
21,Strac (YC W22) Is Hiring Windows Engineer,ycombinator.com,https://www.ycombinator.com/companies/strac/jobs/TJHiaL9-senior-endpoint-security-engineer-windows,Strac,Senior Endpoint Security Engineer (Windows),$135K - $200K / 0.01% - 0.10%,USA / Remote (USA),2021,8,"Bellevue, WA",2025-01-22T12:00:05 1737547205,"We are seeking a highly skilled Senior Windows Endpoint Security Engineer to design and develop advanced endpoint security solutions for Windows devices. The ideal candidate will have a strong background in Windows system-level programming and a passion for building tools that protect sensitive data, monitor security events, and enhance organizational compliance. This is an opportunity to work on cutting-edge technology that secures endpoints in diverse enterprise environments."
22,HyperDX (YC S22) is hiring engineers to build open source observability,ycombinator.com,https://www.ycombinator.com/companies/hyperdx/jobs,HyperDX,Senior Endpoint Security Engineer (Windows),HyperDX,,2022,4,"San Mateo, CA",2025-01-21T21:01:02 1737493262,"HyperDX helps engineers figure out why production is broken faster by centralizing and correlating logs, metrics, traces, exceptions and session replays in one place. We're building the open source and developer friendly alternative to tools like Datadog and New Relic."
23,Motion (YC W20) Is Hiring EMs and Engineers,ashbyhq.com,https://jobs.ashbyhq.com/motion?utm_source=hn,,,,,,,,2025-01-21T17:01:01 1737478861,
24,CollectWise (YC F24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/collectwise/jobs/miUmVns-founding-engineer,CollectWise,Founding Engineer,$140K - $190K / 0.25% - 1.00%,"New York, NY, US",2024,2,,2025-01-20T03:58:04 1737345484,About Us
25,Gauntlet AI (YC S17) is training AI engineers and hiring them in Austin,gauntletai.com,https://gauntletai.com,,,,,,,,2025-01-19T17:01:02 1737306062,
26,Spellbrush (YC W18) Is Hiring Game Programmers (Anime SRPG/Tactics),Site not found,item?id=42744820,,,,,,,,2025-01-18T01:00:04 1737162004,
27,Keeling Labs (YC W23) Is Hiring an ML Engineer for Grid-Scale Energy Storage,keelinglabs.com,https://www.keelinglabs.com/jobs?ashby_jid=81b48fb8-8176-4529-a38d-8fc736ebe2aa,,,,,,,,2025-01-17T17:00:11 1737133211,
28,Fern (YC W23) Is Hiring an AI Engineer in NYC,ycombinator.com,https://www.ycombinator.com/companies/fern/jobs/bEL3MoW-ai-engineer,Fern,AI Engineer,$170K - $210K,"New York, NY, US",2022,12,New York,2025-01-17T12:01:11 1737115271,"This role is ideal for ambitious engineers with entrepreneurial goals. Many of us are former or future founders, and this is an opportunity to scale a company from $1M to $10M ARR while partnering with fast-growing tech companies shaping the future of software. We value in-person collaboration and work out of our office in the Williamsburg neighborhood of Brooklyn."
29,Continue (YC S23) Is Hiring a Software Engineer in San Francisco,ycombinator.com,https://www.ycombinator.com/companies/continue/jobs/smcxRnM-software-engineer,Continue,Software Engineer,$150K - $200K / 0.50% - 1.50%,"San Francisco, CA, US",2023,5,San Francisco,2025-01-16T21:00:25 1737061225,"Continue is seeking an outstanding software engineer to help us build state-of-the-art autocomplete and codebase retrieval, who thinks rigorously and pays attention to the smallest details. In this role, you will work on fundamental, but highly open-ended problems where deliberate measurement, rapid experimentation, and empathy for users push forward the product."
30,Artie (YC S23) Is Hiring a Founding Engineer (Distributed Systems),ycombinator.com,https://www.ycombinator.com/companies/artie/jobs/Vz704T1-founding-engineer-distributed-systems,Artie,Founding Engineer (Distributed Systems),$150K - $215K / 0.50% - 1.00%,"San Francisco, CA, US",2023,7,San Francisco,2025-01-16T17:00:09 1737046809,"We are a small team based in San Francisco looking to hire our third founding engineer that has a dedicated focus around distributed systems. As a founding engineer, you will have the opportunity to wear multiple hats, directly interact with our customers and play a crucial role in shaping the future of our product."
31,Craniometrix (YC W22) is hiring a founding engineer on CTO track,ycombinator.com,https://www.ycombinator.com/companies/craniometrix/jobs/5Ucqf0Q-founding-full-stack-engineer-cto-track,Craniometrix,Founding Full Stack Engineer (CTO track),$160K - $220K / 0.25% - 1.00%,"New York, NY, US",2021,5,New York,2025-01-14T14:43:04 1736865784,"At Craniometrix, we're more than just a startup: we're a dedicated team working to make Alzheimer’s disease suck a little less. We build software to help keep grandma happy, healthy, and at home. We have millions of dollars in the bank and millions in contracts, and are looking for a founding engineer that wants to help us change healthcare."
32,Humanize Healthcare Content as Wyndly (YC W21) 's first content hire,dover.com,https://app.dover.com/apply/Wyndly/008f0389-988d-4b63-87c1-026b7b20c6fa/?rs=76643084,,,,,,,,2025-01-13T17:00:21 1736787621,
33,"Raycast (YC W20) Is Hiring Full Stack Engineer (EU, Remote, €105k-€160k)",raycast.com,https://www.raycast.com/jobs/software-engineer-full-stack,,,,,,,,2025-01-13T12:00:11 1736769611,
34,Langfuse (YC W23) Is Hiring OSS Engineers in Berlin,github.com/langfuse,https://github.com/langfuse/langfuse/blob/main/careers,,,,,,,,2025-01-13T09:55:27 1736762127,
35,"FurtherAI (YC W24) Is Hiring Across Research, Engineering, and Design",ycombinator.com,https://www.ycombinator.com/companies/furtherai/jobs,FurtherAI,Founding Full Stack Engineer (CTO track),FurtherAI,,2023,2,,2025-01-12T22:34:49 1736721289,"At FurtherAI, we are building a workforce of AI Teammates to automate insurance workflows. These AI Teammates can practically automate any insurance workflow involving processing unstructured documents, data entry into internal systems or web portals, or even making phone calls."
36,Harper (YC W25) Is Hiring #1 Founding Growth/Operations Lead,ycombinator.com,https://www.ycombinator.com/companies/harper/jobs/VUe2K9r-founding-operations-lead,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2025-01-12T12:02:18 1736683338,job description page not found
37,Yhangry (YC W22) Is Hiring Senior Engineers,ycombinator.com,https://www.ycombinator.com/companies/yhangry/jobs/JiN1myL-senior-full-stack-engineer,yhangry,Senior Full-Stack Engineer,£80K - £110K GBP / 0.02% - 0.20%,"London, England, GB",2020,12,"London, United Kingdom",2025-01-12T07:00:02 1736665202,"Yhangry is like Airbnb, but for finding a chef to cook for an event: Their birthday, a hen party or a family Christmas gathering."
38,"Photoroom (YC S20) Is Hiring a Senior Front End Engineer in Paris (React, MobX)",ashbyhq.com,https://jobs.ashbyhq.com/photoroom/81de4c1e-f4ee-4c14-a196-6e869fa6b320,,,,,,,,2025-01-11T07:00:22 1736578822,
39,Wasmer (YC S19) Is Hiring a Rust Engineer in EU timezone (Remote),workatastartup.com,https://www.workatastartup.com/jobs/41643,,,,,,,,2025-01-10T12:00:44 1736510444,
40,"Telli (YC F24) is hiring product engineers in Berlin, Germany (in-person)",ycombinator.com,https://www.ycombinator.com/companies/telli/jobs/J1YREmZ-product-engineer,telli,founding product engineer,€70K - €100K EUR,"Berlin, BE, DE",2024,5,"Berlin, Germany",2025-01-10T07:00:48 1736492448,"telli is building AI voice agents that change the way businesses communicate with their customers. Voice is the most natural way humans communicate. However, high-quality voice interactions have historically struggled to scale, leading businesses to rely on clunky user interfaces and compromise on customer experience."
41,MixRank (YC S11) Is Hiring Software Engineers Globally,Site not found,item?id=42647695,,,,,,,,2025-01-09T17:15:11 1736442911,
42,Roboflow (YC S20) is hiring an engineer to work on its open source projects,ycombinator.com,https://www.ycombinator.com/companies/roboflow/jobs/cHrnmMH-open-source-software-engineer,Roboflow,Open Source Software Engineer,$175K - $190K,"San Francisco, CA, US / New York, NY, US / Remote (US)",2019,50,San Francisco,2025-01-09T12:00:27 1736424027,"Our mission is to make the world programmable. Sight is one of the key ways we understand the world, and soon this will be true for the software we use, too."
43,AccessOwl (YC S22) is hiring a TypeScript Engineer in EU to connect 100s of SaaS,ycombinator.com,https://www.ycombinator.com/companies/accessowl/jobs/cziclTH-senior-software-engineer-typescript-focus,AccessOwl,Senior Software Engineer (Typescript Focus),€70K - €90K EUR,"Berlin, BE, DE / ES / PT / PL / AT / CZ / HU / SK / RO / SI / HR / RS / BA / IT / CH / NL / BE / FR / GB / GR / BG / Remote (Berlin, BE, DE; ES; PT; PL; AT; CZ; HU; SK; RO; SI; HR; RS; BA; IT; CH; NL; BE; FR; GB; GR; BG)",2022,4,"Berlin, Germany",2025-01-09T07:00:17 1736406017,"TL;DR: Senior Software Engineer specializing in TypeScript, seeking a fully remote role within ±3 hours of CET (Berlin). You thrive on solving real problems, are eager to grow, and want to work closely with a small, tight-knit team to transform how companies worldwide manage their SaaS tools."
44,Two Dots (YC S22) Is Hiring ML and Back End Engineers,ycombinator.com,https://www.ycombinator.com/companies/two-dots/jobs/97PTcHT-machine-learning-engineer,Two Dots,Machine Learning Engineer,$200K - $400K,"San Francisco, CA, US",2022,18,San Francisco,2025-01-08T17:00:22 1736355622,"The decade of the 2000s was magical. You could take out as many jumbo adjustable rate mortgages and home equity loans as you wanted.

Unfortunately nobody checked to see if your income actually matched what you declared on the application.

That’s what Two Dots does.

If everyone used Two Dots in the 2000s, the great financial crisis wouldn’t have happened. We also would have prevented Anna Delvey from being able to steal $100,000 from City National Bank in 2017."
45,Modern Treasury (YC S18) Is Hiring a Payments Engineering Manager,ashbyhq.com,https://jobs.ashbyhq.com/moderntreasury/3bf0ac98-f9c4-47a0-b883-252db467fb6e?utm_source=yYPEbOqnBd,,,,,,,,2025-01-08T12:01:24 1736337684,
46,Tiptap (YC S23) is hiring a senior full stack engineer in EU,ycombinator.com,https://www.ycombinator.com/companies/tiptap/jobs/ZJhpyYA-senior-full-stack-engineer,Tiptap,Senior Full Stack Engineer,€70K - €90K EUR / 0.30% - 0.60%,"Berlin, BE, DE / Remote (AT; BE; BG; HR; CY; CZ; DK; EE; FI; FR; DE; GR; HU; IT; LV; LT; LU; MT; NL; PL; PT; RO; SI; SK; ES; SE; NO; GB; CH)",2022,15,"Berlin, Germany",2025-01-08T07:00:12 1736319612,"Millions of people around the world are using them right now in their web browsers: Text editors. While the vast majority of users have no idea about the underlying technology, and even most web-savvy people think of a text editor as a simple piece of HTML, most of the content on the web comes through them, and while it always seems like an easy problem to solve for web developers at first, it's extremely difficult and finicky to do well, especially when you need to build more sophisticated editor UIs like Google Docs or Notion do."
47,OmniAI (YC W24) Hiring Engineers to Build Open Source Document Extraction,ycombinator.com,https://www.ycombinator.com/companies/omniai/jobs/LG5jeP2-full-stack-engineer,OmniAI,Full Stack Engineer,$125K - $175K / 0.50% - 1.50%,"San Francisco, CA, US",2023,4,San Francisco,2025-01-07T18:49:42 1736275782,Help us build the best OCR / document extraction on the planet!
48,Jiga (YC W21) Is Hiring Full Stack Engineers,ycombinator.com,https://www.ycombinator.com/companies/jiga/jobs/KMtdgpo-remote-full-stack-engineer-react-node-mongo,Jiga,Remote Full Stack Engineer (React/Node/Mongo),,US / Remote (US),2020,15,San Francisco,2025-01-07T12:00:55 1736251255,About Jiga:
49,Axiom.ai (YC W21) Is Hiring a Contract Web Designer (Remote),ycombinator.com,https://www.ycombinator.com/companies/axiom-ai/jobs/DckIVG6-contract-web-designer,Axiom.ai,Contract Web Designer,,US / GB / FR / DE / AU / NZ / HR / CA / MX / AR / AT / BE / CY / DK / FI / GR / HU / IT / LV / LT / LU / MT / NL / Remote (US; GB; FR; DE; AU; NZ; HR; CA; MX; AR; AT; BE; CY; DK; FI; GR; HU; IT; LV; LT; LU; MT; NL),2019,8,"London, United Kingdom",2025-01-07T07:01:03 1736233263,"The Role

We’re looking for a contract web designer, ideally with experience in designing B2B SaaS websites."
50,GoGoGrandparent (YC S16) Is Hiring Back End and Full-Stack Engineers,Site not found,item?id=42612394,,,,,,,,2025-01-06T17:03:20 1736183000,
51,Supabase (YC S20) Is Hiring for Multiple Roles (Remote),supabase.com,https://supabase.com/careers,,,,,,,,2025-01-06T07:01:13 1736146873,
52,Corvus Robotics (YC S18) is hiring a Head of Software to help inventory drones,Site not found,item?id=42605143,,,,,,,,2025-01-05T21:20:07 1736112007,
53,Infisical (YC W23) Is Hiring Solutions Engineers,ycombinator.com,https://www.ycombinator.com/companies/infisical/jobs/yaEvock-solutions-engineer,Infisical,Solutions Engineer,$120K - $180K / 0.10% - 0.30%,"San Francisco, CA, US / Remote (US; CA)",2022,15,San Francisco,2025-01-04T17:01:24 1736010084,"Infisical is the #1 open source secret management platform for developers. In other words, we help organizations manage API-keys, DB access tokens, certificates, and other credentials across all parts of their infra! In fact, we process over 100M of such secrets per day."
54,Extend (YC W23) is hiring engineers to build LLM document processing,ashbyhq.com,https://jobs.ashbyhq.com/extend/9d4d8974-bd9b-432d-84ec-8268e5a8ed37,,,,,,,,2025-01-03T21:01:16 1735938076,
55,Arketa (YC S20) Is Hiring an Engineer Who Can Design,Site not found,item?id=42587308,,,,,,,,2025-01-03T17:01:11 1735923671,
56,CoinTracker (YC W18) hiring product engineer to solve crypto accounting,ashbyhq.com,https://jobs.ashbyhq.com/cointracker/c039fbb9-2ed7-4a68-bc7a-c6f929d5d5e5,,,,,,,,2025-01-03T12:00:41 1735905641,
57,UpCodes (YC S17) is hiring remote recruiters to help make buildings cheaper,up.codes,https://up.codes/careers?utm_source=HN,,,,,,,,2025-01-02T21:01:41 1735851701,
58,Distro (YC S24) Is Hiring a Business Development Representative (BDR),ycombinator.com,https://www.ycombinator.com/companies/distro/jobs/FFzY0sx-business-development-representative,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,job description page not found,2025-01-02T17:00:24 1735837224,job description page not found
59,HyperDX (YC S22) is hiring engineers to build open source observability,ycombinator.com,https://www.ycombinator.com/companies/hyperdx/jobs,HyperDX,Solutions Engineer,HyperDX,,2022,4,"San Mateo, CA",2025-01-01T17:00:33 1735750833,"HyperDX helps engineers figure out why production is broken faster by centralizing and correlating logs, metrics, traces, exceptions and session replays in one place. We're building the open source and developer friendly alternative to tools like Datadog and New Relic."
60,Keeper (YC S21) Is Hiring a Senior Fullstack Engineer,ycombinator.com,https://www.ycombinator.com/companies/keeper/jobs/fLwv59z-senior-fullstack-engineer,Keeper,Senior Fullstack Engineer,$100K - $160K,Remote (UY; AR; BR; CA),2020,48,"Austin, TX",2025-01-01T12:00:41 1735732841,NA
61,Just Words (YC W24) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/just-words/jobs/lwVZeEN-sr-software-engineer-frontend,just words,Sr. Software Engineer (Frontend),$100K - $250K,"San Francisco, CA, US",2024,3,San Francisco,2024-12-31T21:00:23 1735678823,"As one of the founding engineers on the team, your responsibility would be to help us build and scale our backend and recommendation systems from the ground up. You must be willing to bet on yourself and build expertise quickly."
62,Legion Health (YC S21) Is Hiring,ycombinator.com,https://www.ycombinator.com/companies/legion-health/jobs/YvUSGxj-mid-level-full-stack-engineer-ai-native-telepsychiatry-legion-health-usa,Legion Health,Mid-Level Full-Stack Engineer—AI-Native Telepsychiatry (Legion Health) [USA],$100K - $160K / 0.03% - 0.30%,"Austin, TX, US / Remote (US)",2021,9,"Austin, TX",2024-12-31T17:00:28 1735664428,"Legion Health is revolutionizing mental healthcare with LLM-driven telepsychiatry solutions. Our TypeScript stack (Next.js, Node.js, Supabase/PostgreSQL, Docker) empowers us to capture and analyze patient data in real time, drastically improving care outcomes while reducing operational overhead. As a mid-level engineer, you’ll:"
63,Pincites (YC S23) is hiring a founding engineer to build legal AI agents (Remote),ycombinator.com,https://www.ycombinator.com/companies/pincites/jobs,Pincites,Mid-Level Full-Stack Engineer—AI-Native Telepsychiatry (Legion Health) [USA],Pincites,,2023,3,"Menlo Park, CA",2024-12-30T12:00:20 1735560020,Pincites is an AI contract negotiation assistant embedded in Microsoft Word. We help legal teams review and redline contracts faster. You can read more at pincites.com.
64,PermitFlow (YC W22) Is Hiring Senior/Staff Engineers in NYC,ashbyhq.com,https://jobs.ashbyhq.com/permitflow?departmentId=d33195eb-8978-4439-abc6-5a8a072de808,,,,,,,,2024-12-28T12:01:27 1735387287,
65,Harper (YC W25) Is Hiring Founding Engineer #2,ycombinator.com,https://www.ycombinator.com/companies/harper/jobs/y8KjuRZ-founding-ai-engineer,Harper,Founding AI Engineer,$100K - $180K / 0.50% - 2.50%,"San Francisco, CA, US / New York, NY, US / Remote (San Francisco, CA, US; New York, NY, US)",2024,8,San Francisco,2024-12-27T12:01:16 1735300876,"We're building the first truly intelligent insurance brokerage, transforming a $100B+ Excess & Surplus(E&S) insurance market that runs on pre-internet systems. We are looking for exceptional engineers who can architect and deploy AI systems that make complex decisions at unprecedented speed. This isn't about adding chatbots to insurance - it's about building AI systems that can handle intricate, multi-step workflows autonomously, turning weeks of manual work into automated, instant processes."
66,"Ocular AI (YC W24) Is Hiring a Founding Backend Engineer ($120K to $200K, SF)",ycombinator.com,https://www.ycombinator.com/companies/ocular-ai/jobs/BFBHWQd-member-of-technical-staff-founding-backend-engineer,Ocular AI,"Member of Technical Staff, Founding Backend Engineer",$150K - $200K / 0.50% - 1.00%,"San Francisco, CA, US",2024,5,San Francisco,2024-12-26T17:33:54 1735234434,"Ocular AI is the data annotation engine for Generative AI, Computer Vision, and Enterprise AI models."
67,OneText (YC W23) Is Hiring a Founding Growth Marketer,Site not found,item?id=42496436,,,,,,,,2024-12-23T18:20:08 1734978008,
68,Finley (YC W21) Is Hiring a Growth Associate (Ex-Finance),lever.co,https://jobs.lever.co/FinleyTechnologies/429dc338-87e8-4ed7-a302-145e18027e24,,,,,,,,2024-12-22T21:01:49 1734901309,
69,"MindsDB (YC W20) Is Hiring a Senior Product Manager, Data",grnh.se,https://grnh.se/d5ced53d7us,,,,,,,,2024-12-22T17:02:24 1734886944,
70,Gauntlet AI (YC S17) is training AI engineers and hiring them in Austin ($200k/yr),gauntletai.com,https://gauntletai.com,,,,,,,,2024-12-20T12:00:59 1734696059,
71,Openlayer (YC S21) is looking for a customer engineer to join our rocketship,ycombinator.com,https://www.ycombinator.com/companies/openlayer/jobs/yIE9WI3-customer-engineer,Openlayer,Software Engineer,$130K - $160K,"San Francisco, CA, US / New York, NY, US / Remote (US)",2021,6,San Francisco,2024-12-19T21:00:59 1734642059,"Openlayer is solving the AI reliability problem. AI has the potential to transform industries, but too often, inconsistent results and a lack of robust testing hold back that progress. We offer something better—an environment where teams can confidently develop and deploy AI systems."
72,Corvus Robotics (YC S18) is hiring a Head of Software to help inventory drones,Site not found,item?id=42455372,,,,,,,,2024-12-18T21:20:03 1734556803,
73,Hadrius (YC W23) Is Hiring a Founding UI/UX Designer,ycombinator.com,https://www.ycombinator.com/companies/hadrius/jobs/ObynDF9-founding-ui-ux-designer,Hadrius,Founding Product Designer,$110K - $170K / 0.01% - 0.15%,"New York, NY, US",2023,11,New York,2024-12-18T17:00:23 1734541223,"This is a full-time role as a Founding Product Designer, located onsite in New York, NY."
74,Extend (YC W23) is hiring engineers to build LLM document processing,ashbyhq.com,https://jobs.ashbyhq.com/extend/9d4d8974-bd9b-432d-84ec-8268e5a8ed37,,,,,,,,2024-12-18T12:01:07 1734523267,
